TKT-Ticket ID,TKT-Created Time,TKT-Title,TKT-Category,TKT-Severity,TKT-Status,TKT-Assigned To User,TKT-Account Name,TKT-Resolution/Change Type,TKT-Root Cause Category,TKT-Solution,TKT-Actual Resolution Date,TKT-Team
4115585,2025-10-10 10:49:34,[OrroCyber #326190] [Microsoft Sentinel][Medium] 2919: New country signIn with correct password (Orro),Support Tickets,Incident,Scheduled,Lance Letran,Orro Cloud,,Security,,,Cloud - Security
4113482,2025-10-09 15:43:59,Failure Notification for Automate Patch Deployment task-KDR Gold Coast - Auto Patch Deployment Policy - Workstations KDR-LAPTOP-122|KDR-LT-BKOCC01,Alert,Alert,In Progress,Lance Letran,Orro Cloud,Patching,Security,,,Cloud - Security
4112951,2025-10-09 13:31:42,[OrroCyber #326102] Wyvern Private Hospital - Quarterly External Security Scan Commencement Notice,Support Tickets,Incident,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,Informational only,2025-10-13 12:32:10,Cloud - Security
4112125,2025-10-09 10:05:24,Failure Notification for Automate Patch Deployment task-IsAlbi - Auto Patch Deployment Policy - Workstations,Alert,Alert,In Progress,Lance Letran,Orro Cloud,Patching,Security,,,Cloud - Security
4112073,2025-10-09 09:54:53,Failure Notification for Automate Patch Deployment task-Claro  - Auto Deployment Policy - Workstations,Alert,Alert,In Progress,Lance Letran,Orro Cloud,Patching,Security,,,Cloud - Security
4110417,2025-10-08 15:50:53,Failure Notification for Automate Patch Deployment task-BNPHN - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:46,Cloud - Security
4110299,2025-10-08 15:23:29,Failure Notification for Automate Patch Deployment task-SGS - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:43,Cloud - Security
4109597,2025-10-08 13:01:02,New vulnerabilities notification from Microsoft Defender for Endpoint,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,alert only,2025-10-13 09:27:38,Cloud - Security
4109448,2025-10-08 12:24:46,Failure Notification for Automate Patch Deployment task-Psychology Melbourne - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:34,Cloud - Security
4109446,2025-10-08 12:24:15,Failure Notification for Automate Patch Deployment task-PacOps - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:30,Cloud - Security
4109442,2025-10-08 12:23:43,Failure Notification for Automate Patch Deployment task-Playgroup Victoria- Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:25,Cloud - Security
4109433,2025-10-08 12:21:57,Failure Notification for Automate Patch Deployment task-NQPHN - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:20,Cloud - Security
4109429,2025-10-08 12:21:41,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:16,Cloud - Security
4109424,2025-10-08 12:20:55,Failure Notification for Automate Patch Deployment task-Marlin Brands - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:11,Cloud - Security
4109417,2025-10-08 12:18:26,Failure Notification for Automate Patch Deployment task-FPB - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:27:07,Cloud - Security
4109133,2025-10-08 11:11:21,Failure Notification for Automate Patch Deployment task-SSG - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:25:35,Cloud - Security
4109096,2025-10-08 11:03:36,Failure Notification for Automate Patch Deployment task-KD Bus - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-13 09:20:39,Cloud - Security
